,,,,,,,,,,,,,,,,,도움이 필요할 때
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
id,확정카테고리,아이콘 디자인 대상,서비스명,기존카테고리,서브카테고리,연동방식,노출위치,건물수,적용률,이용등급,개편방향,변경여부,비고,,,,
54,휴식이 필요할 때,○,사원카드 잔액 (스마트올리브),FB카테고리,식음,외부 API,홈위젯+아이콘탭,2,1.7,무료핵심(선택),검토,유지,스마트올리브 계약 현장만,,,,
55,휴식이 필요할 때,○,페이코,FB카테고리,식음,외부 링크,아이콘탭,4,1.7,유료,검토,유지,페이코 앱 설치 필요,,,,
56,휴식이 필요할 때,○,식권대장,FB카테고리,식음,외부 링크,아이콘탭,1,0.9,유료,검토,유지,1개 건물 전용,,,,
57,휴식이 필요할 때,○,프레시밀,FB카테고리,식음,외부 링크,아이콘탭,2,0.9,유료,검토,유지,건당 250원 수익 · 외부 URL 연동,,,,
58,휴식이 필요할 때,○,카페그랑 서초,FB카테고리,식음,외부 API,아이콘탭,3,0.9,무료(선택),검토,유지,서초 전용 · 아워홈 API Key 필요,,,,
59,휴식이 필요할 때,,카페그랑 트윈,FB카테고리,식음,외부 API,아이콘탭,3,0.9,무료(선택),검토,유지,트윈타워 전용 · 아워홈 API Key 필요,,,,
60,휴식이 필요할 때,○,샐러드주문,FB카테고리,식음,외부 API,아이콘탭,1,0.9,무료(선택),검토,유지,특정 현장만 · 확장 가능성 낮음,,,,
61,휴식이 필요할 때,○,샌디펜션,제휴,복지·혜택,외부 링크,아이콘탭,116,99.1,무료핵심(선택),유지,유지,전 건물 기본 적용,,,,
62,휴식이 필요할 때,○,샌디특가상점,제휴,복지·혜택,외부 링크,아이콘탭,116,99.1,무료핵심(선택),유지,유지,전 건물 기본 적용,,,,
63,휴식이 필요할 때,○,샌디마켓,제휴,복지·혜택,외부 링크,아이콘탭,114,97.4,무료핵심(선택),유지,유지,전 건물 기본 적용,,,,
64,휴식이 필요할 때,○,샌디사무용품,제휴,복지·혜택,외부 링크,아이콘탭,116,99.1,무료(선택),유지,유지,서브원 스토어 연동,,,,
65,휴식이 필요할 때,○,샌디청소용품,제휴,복지·혜택,외부 링크,아이콘탭,114,97.4,무료(선택),유지,유지,서브원 스토어 연동,,,,
66,휴식이 필요할 때,○,샌디안전용품,제휴,복지·혜택,외부 링크,아이콘탭,114,97.4,무료(선택),유지,유지,서브원 스토어 연동,,,,
67,휴식이 필요할 때,○,샌디가전구독,제휴,복지·혜택,외부 링크,아이콘탭,115,98.3,무료(선택),검토,유지,LG전자 계약 현장 한정 · 구독 BM 재검토,,,,
68,휴식이 필요할 때,○,DK SHOP,제휴,복지·혜택,외부 링크,아이콘탭,1,0.9,무료(선택),검토,유지,동국제약 전용,,,,
69,휴식이 필요할 때,○,동국제약 복지몰,제휴,복지·혜택,외부 링크,아이콘탭,1,0.9,무료(선택),검토,유지,동국제약 전용,,,,
70,관리자 아이콘,○,신고센터관리,,,,,,,,,,,,,,
71,관리자 아이콘,○,대여관리,,,,,,,,,,,,,,
72,관리자 아이콘,○,온도투표관리,,,,,,,,,,,,,,
73,관리자 아이콘,○,온도 모니터링,,,,,,,,,,,,,,
74,관리자 아이콘,○,화장실 모니터링,,,,,,,,,,,,,,
75,관리자 아이콘,○,공기질 모니터링,,,,,,,,,,,,,,
76,관리자 아이콘,○,비상대피 관리,,,,,,,,,,,,,,
